CLML;Cuiseur2PMP_J;Cuiseur2PSF_J;Cuiseur2Ratio_MP_J;Cuiseur2Ratio_PSF_J;Cuiseur2Tonne_J
14/06/2022 00:00:00;91.12900000000002;53.480999999999995;0.5042073489485842;0.835810848712627;46.6
15/06/2022 00:00:00;54.10000000000001;26.2;0.534206953544655;1.0574900677728443;32.8
16/06/2022 00:00:00;86.91300000000001;43.515;3.046114793400085;7.13106635853417;44.9
17/06/2022 00:00:00;73.166;35.254999999999995;0.5193669190607659;1.0778612962700327;39.9
18/06/2022 00:00:00;87.663;42.435;0.5424440874830101;1.1209846279556712;49.1
19/06/2022 00:00:00;12.929;6.52;0.47180756439013066;0.9355828220858896;6.1
20/06/2022 00:00:00;72.93799999999999;34.142999999999994;0.6869336451330021;1.6090380006846972;42.5
21/06/2022 00:00:00;53.11899999999999;24.848999999999997;0.5932349641901804;1.2596080325163992;31.7
22/06/2022 00:00:00;86.05999999999999;42.092000000000006;0.5705321868463863;1.1664924451202128;52
23/06/2022 00:00:00;81.519;37.19900000000001;0.5359243023628782;1.1902288444985305;43.6
24/06/2022 00:00:00;87.602;43.626;0.554498725057676;1.1244254760341432;49.4
25/06/2022 00:00:00;74.41799999999999;35.36099999999999;0.5700445993443011;1.1990611125250985;42.6
26/06/2022 00:00:00;12.892;5.371;0.5556413026701652;1.1399620012666245;5.7
27/06/2022 00:00:00;66.762;30.649;0.6469636818114983;1.6278209396966337;39.5
28/06/2022 00:00:00;81.161;37.626;0.6224445093457944;1.3546259881619194;47.4
29/06/2022 00:00:00;60.149;27.896000000000004;0.5861708482676224;1.3080063317503956;34.7
30/06/2022 00:00:00;39.681999999999995;18.179000000000002;0.5992760015818454;1.2982012211892842;46.5
01/07/2022 00:00:00;33.282;15.047;3.979156797726196;8.493427704752275;45.6
02/07/2022 00:00:00;70.11;30.578999999999997;0.7046070460704607;1.6154877530331275;53.6
03/07/2022 00:00:00;19.592;9.331;0.5359330338913842;1.1252813203300827;14.3
04/07/2022 00:00:00;45.943;20.767;1.2184380504991192;2.3981508234614277;38.4
05/07/2022 00:00:00;46.44800000000001;22.619;0.7922838442990009;1.626950793580618;44.5
06/07/2022 00:00:00;59.505;27.675;0.8329947175944736;1.791566528293642;44.2
07/07/2022 00:00:00;39.411;19.108;0.9286747354799422;1.9154280929453633;41
08/07/2022 00:00:00;46.075;22.925;0.6447554646957068;1.3818672059319177;7.7
09/07/2022 00:00:00;46.075;22.925;0.6447554646957068;1.3818672059319177;null
10/07/2022 00:00:00;46.075;22.925;0.6447554646957068;1.3818672059319177;null
11/07/2022 00:00:00;46.075;22.925;0.6447554646957068;1.3818672059319177;null
12/07/2022 00:00:00;56.241;24.474000000000004;1.1816019032513878;2.772608857461853;28.7
13/07/2022 00:00:00;57.714;31.426;0.6166844712052054;1.4297992030627396;31.3
14/07/2022 00:00:00;60.001000000000005;28.58;0.5801421692272414;1.2874101320849356;34.9
15/07/2022 00:00:00;63.681;29.61;0.5531188138027404;1.172645576094104;32.1
16/07/2022 00:00:00;45.67400000000001;20.558;null;null;null
17/07/2022 00:00:00;5.779;2.608;null;null;null
18/07/2022 00:00:00;60.708;26.371000000000002;null;null;null
19/07/2022 00:00:00;60.336;26.384999999999998;769.0110940071129;null;null
20/07/2022 00:00:00;58.971999999999994;26.995;0.6075754662564892;1.3846288668828322;38.8
21/07/2022 00:00:00;69.22;31.723;0.569199653279399;1.2420010717775747;43.1
22/07/2022 00:00:00;66.91600000000001;30.485000000000003;0.5708649650307848;1.2748514039762247;40
