Temps;Co-Produit;LPlume;LSang;LV_Cuiseur_1;LV_Cuiseur_2;LV_Cuiseur_3
28/05/2022;189.2;29.8;24.1;38.5;49.8;47
29/05/2022;56.6;18.6;7.1;8.2;12.8;9.9
30/05/2022;139.4;23;21.9;20.4;33;41.3
31/05/2022;187.5;30.3;23.2;36;49.2;48.8
01/06/2022;199.6;41.1;22.8;35.4;49.9;50.2
02/06/2022;181.8;32.2;10.8;31.4;44.6;51.4
03/06/2022;182.2;33.7;null;27.8;47.5;52.3
04/06/2022;180.3;36.6;null;28.5;23.4;47.4
05/06/2022;41.2;13.2;null;6.7;null;9.3
06/06/2022;135.3;20.2;null;17.8;null;36.4
07/06/2022;179.8;35.8;null;30.9;13084.3;45.4
08/06/2022;174.3;39.1;null;28.3;51.2;36.5
09/06/2022;159.6;28.5;null;25.1;46.3;39.3
10/06/2022;176.8;43.1;null;24.4;46.3;43.4
11/06/2022;175.5;25.3;null;33.6;48.9;43.5
12/06/2022;60;7.9;null;12.9;16.7;14.7
13/06/2022;162.8;23.7;null;35.1;38.9;42.9
14/06/2022;185.8;30.9;null;36.2;46.6;48.4
15/06/2022;187;43.5;11596.9;35.6;32.8;51.6
16/06/2022;190.6;32.4;24.2;30.5;44.9;58.9
17/06/2022;174.1;30.6;21.4;30.8;39.9;51.2
18/06/2022;186.7;30;20.6;39.7;49.1;47.5
19/06/2022;41.7;15.1;6.2;8.7;6.1;5.6
20/06/2022;160.3;23;21.9;28.9;42.5;43.9
21/06/2022;169.9;31.4;24.8;35.1;31.7;46.8
22/06/2022;194.7;33.1;23.6;37;52;48.9
23/06/2022;190.6;30.7;24;38;43.6;54.6
24/06/2022;198;33.7;25.1;37.7;49.4;52.1
25/06/2022;187.2;31.7;22.1;43;42.6;47.8
26/06/2022;32.2;6.8;5.9;5.6;5.7;8.1
27/06/2022;154.5;27;22.4;25.6;39.5;40.2
28/06/2022;202.1;32.5;23;40.8;47.4;58.2
29/06/2022;187.4;33.4;24;44.7;34.7;50.6
30/06/2022;198.3;32.9;25;45.4;46.5;48.5
01/07/2022;197.6;34.4;24.5;40.1;45.6;53
02/07/2022;183.8;27.6;23.4;35.7;53.6;43.6
03/07/2022;59.7;8.3;6.7;11.8;14.3;18.4
04/07/2022;175.7;27.4;23.3;34.6;38.4;52.1
05/07/2022;201.4;29.7;26.4;44;44.5;56.8
06/07/2022;202.8;35.6;24.5;46.4;44.2;52.1
07/07/2022;141.6;13.8;16.5;33.2;41;37.1
08/07/2022;28.4;1.4;4.2;6;7.7;9.1
12/07/2022;122.1;25.1;18.8;22;28.7;27.6
13/07/2022;150.3;28.2;22.2;31.4;31.3;37.1
